year,total,% Highest degree is middle school,% Highest degree is High School,% Highest degree is  College (4 + years)
2022,"226,274",3%,28%,38%
2021,"224,580",3%,28%,38%
2020,"223,058",3%,28%,38%
2019,"221,478",3%,28%,36%
2018,"219,830",3%,29%,35%
2017,"216,921",3%,29%,34%
2016,"215,015",3%,29%,33%
2015,"212,132",3%,29%,33%
2014,"209,287",4%,30%,32%
2013,"206,899",4%,30%,32%
2012,"204,579",4%,30%,31%
2011,"201,543",4%,31%,30%
2010,"199,928",4%,31%,30%
2009,"198,285",4%,31%,30%
2008,"196,305",4%,31%,29%
2007,"194,318",4%,32%,29%
2006,"191,884",5%,32%,28%
2005,"189,367",5%,32%,28%
2004,"186,876",5%,32%,28%
2003,"185,183",5%,32%,27%
2002,"182,142",5%,32%,27%
2001,"180,389",5%,32%,26%
2000,"175,230",5%,33%,26%
1999,"173,754",6%,33%,25%
1998,"172,211",6%,34%,24%
1997,"170,581",6%,34%,24%
1996,"168,323",6%,34%,24%
1995,"166,438",7%,34%,23%
1994,"164,512",7%,34%,22%
1993,"162,826",7%,35%,22%
1992,"160,827",7%,36%,21%
1991,"158,694",8%,39%,21%
1990,"156,538",9%,38%,21%
1989,"154,155",9%,38%,21%
1988,"151,635",10%,39%,20%
1987,"149,144",10%,39%,20%
1986,"146,606",11%,38%,19%
1985,"143,524",11%,38%,19%
1984,"140,794",12%,38%,19%
1983,"138,020",12%,38%,19%
1982,"135,526",13%,38%,18%
1981,"132,899",13%,38%,17%
1980,"130,409",14%,37%,17%
1979,"125,295",15%,37%,16%
1978,"123,019",16%,36%,16%
1977,"120,870",16%,36%,15%
1976,"118,848",17%,36%,15%
1975,"116,897",18%,36%,14%
1974,"115,005",18%,36%,13%
1973,"112,866",19%,36%,13%
1972,"111,133",20%,35%,12%
1971,"110,627",22%,34%,11%
1970,"109,310",22%,34%,11%
1969,"107,750",23%,34%,11%
1968,"106,469",24%,33%,10%
1967,"104,864",25%,32%,10%
1966,"103,876",25%,31%,10%
1965,"103,245",26%,31%,9%
1964,"102,421",27%,30%,9%
1962,"100,664",28%,28%,9%
1960,"99,465",31%,25%,8%
1959,"97,478",29%,27%,8%
1957,"95,630",31%,26%,7%
1952,"88,358",34%,24%,7%
1950,"87,484",36%,20%,6%
1947,"82,578",39%,20%,5%
1940,"74,776",46%,14%,5%
,,,,
,,,,
