Table with row headers in column A and column headers in rows 4 through 6,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2022",,,,,
(Numbers in thousands. Civilian noninstitutionalized population.),,,,,
Year,,Total,,,
,,,,,
,,,,,
,,,% Highest degree is middle school,% Highest degree is High School,% Highest degree is  College (4 + years)
2022,Jan-22,"226,274",3%,28%,38%
,Feb-22,"226,274",3%,28%,38%
,Mar-22,"226,274",3%,28%,38%
,Apr-22,"226,274",3%,28%,38%
,May-22,"226,274",3%,28%,38%
,Jun-22,"226,274",3%,28%,38%
,Jul-22,"226,274",3%,28%,38%
,Aug-22,"226,274",3%,28%,38%
,Sep-22,"226,274",3%,28%,38%
,Oct-22,"226,274",3%,28%,38%
,Nov-22,"226,274",3%,28%,38%
,Dec-22,"226,274",3%,28%,38%
2021,Jan-21,"224,580",3%,28%,38%
,Feb-21,"224,580",3%,28%,38%
,Mar-21,"224,580",3%,28%,38%
,Apr-21,"224,580",3%,28%,38%
,May-21,"224,580",3%,28%,38%
,Jun-21,"224,580",3%,28%,38%
,Jul-21,"224,580",3%,28%,38%
,Aug-21,"224,580",3%,28%,38%
,Sep-21,"224,580",3%,28%,38%
,Oct-21,"224,580",3%,28%,38%
,Nov-21,"224,580",3%,28%,38%
,Dec-21,"224,580",3%,28%,38%
2020,Jan-20,"223,058",3%,28%,38%
,Feb-20,"223,058",3%,28%,38%
,Mar-20,"223,058",3%,28%,38%
,Apr-20,"223,058",3%,28%,38%
,May-20,"223,058",3%,28%,38%
,Jun-20,"223,058",3%,28%,38%
,Jul-20,"223,058",3%,28%,38%
,Aug-20,"223,058",3%,28%,38%
,Sep-20,"223,058",3%,28%,38%
,Oct-20,"223,058",3%,28%,38%
,Nov-20,"223,058",3%,28%,38%
,Dec-20,"223,058",3%,28%,38%
2019,Jan-19,"221,478",3%,28%,36%
,Feb-19,"221,478",3%,28%,36%
,Mar-19,"221,478",3%,28%,36%
,Apr-19,"221,478",3%,28%,36%
,May-19,"221,478",3%,28%,36%
,Jun-19,"221,478",3%,28%,36%
,Jul-19,"221,478",3%,28%,36%
,Aug-19,"221,478",3%,28%,36%
,Sep-19,"221,478",3%,28%,36%
,Oct-19,"221,478",3%,28%,36%
,Nov-19,"221,478",3%,28%,36%
,Dec-19,"221,478",3%,28%,36%
2018,Jan-18,"219,830",3%,29%,35%
,Feb-18,"219,830",3%,29%,35%
,Mar-18,"219,830",3%,29%,35%
,Apr-18,"219,830",3%,29%,35%
,May-18,"219,830",3%,29%,35%
,Jun-18,"219,830",3%,29%,35%
,Jul-18,"219,830",3%,29%,35%
,Aug-18,"219,830",3%,29%,35%
,Sep-18,"219,830",3%,29%,35%
,Oct-18,"219,830",3%,29%,35%
,Nov-18,"219,830",3%,29%,35%
,Dec-18,"219,830",3%,29%,35%
2017,Jan-17,"216,921",3%,29%,34%
,Feb-17,"216,921",3%,29%,34%
,Mar-17,"216,921",3%,29%,34%
,Apr-17,"216,921",3%,29%,34%
,May-17,"216,921",3%,29%,34%
,Jun-17,"216,921",3%,29%,34%
,Jul-17,"216,921",3%,29%,34%
,Aug-17,"216,921",3%,29%,34%
