DATE,USALORSGPNOSTSAM
2/1/47,102.3044
3/1/47,101.9178
4/1/47,101.5401
5/1/47,101.185
6/1/47,100.8719
7/1/47,100.6229
8/1/47,100.4594
9/1/47,100.3933
10/1/47,100.4126
11/1/47,100.4958
12/1/47,100.6207
1/1/48,100.7671
2/1/48,100.9168
3/1/48,101.0518
4/1/48,101.151
5/1/48,101.193
6/1/48,101.1597
7/1/48,101.045
8/1/48,100.8459
9/1/48,100.5603
10/1/48,100.1895
11/1/48,99.7385
12/1/48,99.22165
1/1/49,98.67361
2/1/49,98.13494
3/1/49,97.64027
4/1/49,97.2064
5/1/49,96.83851
6/1/49,96.53186
7/1/49,96.26861
8/1/49,96.03694
9/1/49,95.84669
10/1/49,95.74238
11/1/49,95.77703
12/1/49,95.98039
1/1/50,96.34131
2/1/50,96.82
3/1/50,97.37263
4/1/50,97.96703
5/1/50,98.57859
6/1/50,99.18246
7/1/50,99.74407
8/1/50,100.2279
9/1/50,100.609
10/1/50,100.8898
11/1/50,101.0864
12/1/50,101.2218
1/1/51,101.3241
2/1/51,101.4188
3/1/51,101.5232
4/1/51,101.6416
5/1/51,101.7673
6/1/51,101.8843
7/1/51,101.9676
8/1/51,101.9928
9/1/51,101.9464
10/1/51,101.8421
11/1/51,101.7026
12/1/51,101.5468
1/1/52,101.3799
2/1/52,101.2019
3/1/52,101.0178
4/1/52,100.8483
5/1/52,100.7235
6/1/52,100.6765
7/1/52,100.7336
8/1/52,100.9103
9/1/52,101.1995
10/1/52,101.5644
11/1/52,101.9491
12/1/52,102.2977
1/1/53,102.572
2/1/53,102.7439
3/1/53,102.7944
4/1/53,102.7188
5/1/53,102.5186
6/1/53,102.2031
7/1/53,101.7838
8/1/53,101.2808
9/1/53,100.721
10/1/53,100.1424
11/1/53,99.58459
12/1/53,99.07945
1/1/54,98.64286
2/1/54,98.28365
3/1/54,98.00804
4/1/54,97.81866
5/1/54,97.71957
6/1/54,97.71539
7/1/54,97.80396
8/1/54,97.98277
9/1/54,98.24867
10/1/54,98.59119
11/1/54,98.99624
12/1/54,99.44441
1/1/55,99.90453
2/1/55,100.3432
3/1/55,100.7335
4/1/55,101.0656
5/1/55,101.337
6/1/55,101.5465
7/1/55,101.6929
8/1/55,101.7727
9/1/55,101.7826
10/1/55,101.7265
11/1/55,101.6127
12/1/55,101.4557
1/1/56,101.2821
2/1/56,101.1194
3/1/56,100.9862
4/1/56,100.882
5/1/56,100.8002
6/1/56,100.7388
7/1/56,100.7101
8/1/56,100.729
9/1/56,100.8011
10/1/56,100.9052
11/1/56,101.0093
12/1/56,101.084
1/1/57,101.115
2/1/57,101.0988
3/1/57,101.0405
4/1/57,100.9554
5/1/57,100.8555
6/1/57,100.7383
7/1/57,100.5765
8/1/57,100.3345
9/1/57,99.98695
10/1/57,99.52895
11/1/57,98.98093
12/1/57,98.38637
1/1/58,97.81591
2/1/58,97.34385
3/1/58,97.02404
4/1/58,96.88289
5/1/58,96.91971
6/1/58,97.11684
7/1/58,97.43605
